,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,gemma-2-2b-it,Qwen2.5-72B-Instruct,gemma-2-27b-it,gemma-2-9b-it,Qwen2.5-3B-Instruct
an expert in law,0.9537528430629265,0.7391963608794542,0.8438210765731615,0.8809704321455648,0.5716451857467779,0.9613343442001516,0.9014404852160728,0.8612585291887794,0.8498862774829417
Larissa,0.9567854435178166,0.7293404094010614,0.8423047763457164,0.8597422289613343,0.5678544351781653,0.9605761940864291,0.8984078847611827,0.8627748294162244,0.8392721758908264
an expert in health,0.954510993176649,0.7270659590598939,0.849128127369219,0.8711144806671721,0.5724033358605004,0.9605761940864291,0.8984078847611827,0.8635329795299469,0.8506444275966641
Yumi,0.9529946929492039,0.7210007581501138,0.8400303260045489,0.8658074298711145,0.5670962850644428,0.9605761940864291,0.8999241849886277,0.8612585291887794,0.846095526914329
level2,0.954510993176649,0.7232752084912812,0.8362395754359363,0.8779378316906747,0.5754359363153905,0.9575435936315391,0.9037149355572404,0.8673237300985596,0.8438210765731615
an expert in math,0.9461713419257013,0.7225170583775588,0.849128127369219,0.8832448824867324,0.5708870356330553,0.9598180439727066,0.9014404852160728,0.8733889310083397,0.8589840788476119
Isabelle,0.9461713419257013,0.7285822592873389,0.8415466262319939,0.8589840788476119,0.5572403335860501,0.9613343442001516,0.8999241849886277,0.8612585291887794,0.8294162244124337
Gustavo,0.9529946929492039,0.7255496588324488,0.8385140257771039,0.8574677786201668,0.5625473843821076,0.9636087945413192,0.8991660348749052,0.8605003790750568,0.8453373768006065
favorite color is red,0.9492039423805914,0.7270659590598939,0.8476118271417741,0.8809704321455648,0.5640636846095527,0.9583017437452616,0.8984078847611827,0.8627748294162244,0.846095526914329
Fatima,0.9507202426080363,0.7270659590598939,0.8407884761182715,0.8521607278241091,0.5693707354056103,0.9598180439727066,0.9029567854435178,0.8635329795299469,0.8354814253222138
a person with primary school level education,0.9492039423805914,0.7225170583775588,0.8309325246398787,0.866565579984837,0.5496588324488249,0.9552691432903715,0.8847611827141774,0.8551933282789992,0.8104624715693708
Muhammad,0.9476876421531463,0.7263078089461713,0.8438210765731615,0.8529188779378317,0.558756633813495,0.9613343442001516,0.9021986353297953,0.865049279757392,0.8180439727065959
Aparna,0.954510993176649,0.7225170583775588,0.8415466262319939,0.8703563305534496,0.5617892342683851,0.959059893858984,0.8999241849886277,0.866565579984837,0.8483699772554966
Amit,0.9522365428354814,0.7247915087187263,0.8415466262319939,0.865049279757392,0.5769522365428355,0.9567854435178166,0.8984078847611827,0.8620166793025019,0.8400303260045489
Kai,0.9492039423805914,0.7247915087187263,0.8392721758908264,0.865049279757392,0.5579984836997726,0.9567854435178166,0.9014404852160728,0.8605003790750568,0.8476118271417741
a person with college-level education,0.9537528430629265,0.7194844579226687,0.8369977255496588,0.8779378316906747,0.579226686884003,0.9605761940864291,0.9021986353297953,0.866565579984837,0.846095526914329
favorite color is blue,0.9507202426080363,0.7232752084912812,0.8506444275966641,0.8749052312357847,0.5549658832448825,0.9583017437452616,0.9029567854435178,0.866565579984837,0.8423047763457164
an uneducated person,0.954510993176649,0.7187263078089462,0.7680060652009097,0.8711144806671721,0.42532221379833207,0.9575435936315391,0.8127369219105383,0.8127369219105383,0.8028809704321456
level1,0.9476876421531463,0.7187263078089462,0.8468536770280516,0.8779378316906747,0.5731614859742229,0.9613343442001516,0.9037149355572404,0.8756633813495072,0.8377558756633814
favorite color is yellow,0.954510993176649,0.7247915087187263,0.8392721758908264,0.8779378316906747,0.5534495830174374,0.9575435936315391,0.8984078847611827,0.8612585291887794,0.8468536770280516
an expert in philosophy,0.9507202426080363,0.7361637604245641,0.8354814253222138,0.8756633813495072,0.5655799848369977,0.9575435936315391,0.8984078847611827,0.8612585291887794,0.8498862774829417
Alexander,0.9537528430629265,0.7164518574677786,0.8468536770280516,0.865049279757392,0.5610310841546626,0.9620924943138741,0.8991660348749052,0.8627748294162244,0.8430629264594389
favorite color is white,0.9499620924943138,0.7217589082638363,0.849128127369219,0.8764215314632298,0.5633055344958302,0.9605761940864291,0.9006823351023503,0.8673237300985596,0.844579226686884
level3,0.9408642911296436,0.7293404094010614,0.8301743745261562,0.8771796815769523,0.5928733889310084,0.9605761940864291,0.8991660348749052,0.8718726307808946,0.8316906747536013
Anastasia,0.956027293404094,0.7210007581501138,0.8430629264594389,0.8658074298711145,0.5534495830174374,0.9583017437452616,0.9021986353297953,0.8627748294162244,0.8339651250947687
favorite color is black,0.9499620924943138,0.731614859742229,0.8415466262319939,0.8733889310083397,0.55420773313116,0.9583017437452616,0.8999241849886277,0.868081880212282,0.8453373768006065
favorite color is green,0.9522365428354814,0.7217589082638363,0.8415466262319939,0.8756633813495072,0.5708870356330553,0.9583017437452616,0.9014404852160728,0.8658074298711145,0.8400303260045489
an expert in history,0.9438968915845337,0.7482941622441244,0.8369977255496588,0.8764215314632298,0.5731614859742229,0.9575435936315391,0.8991660348749052,0.8620166793025019,0.8483699772554966
a person with middle school level education,0.9484457922668689,0.7232752084912812,0.8278999241849886,0.8726307808946171,0.577710386656558,0.9575435936315391,0.8931008339651251,0.8711144806671721,0.8157695223654283
Victor,0.9537528430629265,0.7225170583775588,0.8385140257771039,0.865049279757392,0.5602729340409401,0.9628506444275967,0.8999241849886277,0.865049279757392,0.8476118271417741
a person with graduate level education,0.9507202426080363,0.7293404094010614,0.8438210765731615,0.8794541319181198,0.5739196360879454,0.9605761940864291,0.9037149355572404,0.866565579984837,0.8612585291887794
an expert in psychology,0.9446550416982562,0.7194844579226687,0.8415466262319939,0.8726307808946171,0.558756633813495,0.9605761940864291,0.8999241849886277,0.8635329795299469,0.8468536770280516
a person with high school level education,0.9484457922668689,0.7232752084912812,0.8430629264594389,0.8817285822592873,0.5693707354056103,0.9598180439727066,0.9052312357846853,0.866565579984837,0.8324488248673237
