,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,gemma-2-2b-it,Qwen2.5-72B-Instruct,gemma-2-27b-it,gemma-2-9b-it,Qwen2.5-3B-Instruct
an expert in math,0.650537400131226,0.32886377053349924,0.38898324039958104,0.5207650674860471,0.28731044560745556,0.6533239052863561,0.5200132361381657,0.4709436678210526,0.4235835517683424
favorite color is red,0.6453481064210992,0.32810157773136966,0.3885141796212987,0.5159495252318111,0.28300142610147394,0.649161117818322,0.5116306707966487,0.4677897428397611,0.4093994516293792
Gustavo,0.6486811713513674,0.331285073059989,0.3827007804640278,0.5382361859738704,0.28605009467847803,0.6676266065436106,0.5135804118613332,0.4678376790783004,0.4157418626691986
an expert in law,0.6497636485729998,0.3387462736958633,0.40688875595129215,0.5212690179231031,0.2871648836743866,0.656186799510511,0.5184798010877333,0.46141526982827047,0.41842836392447774
Isabelle,0.6482094173889373,0.3299815701879632,0.38290083469617237,0.532794134950415,0.28510894865727915,0.667897464060274,0.5147877371051912,0.47104638779938324,0.4070333908192099
Larissa,0.6492301387486413,0.3281770238711104,0.38507203234784193,0.5329004150384927,0.2868342858535769,0.6666466136713469,0.5158149025299752,0.4708016481503696,0.4108746764366108
an expert in health,0.6513888936758523,0.3314893012547195,0.3961132372250838,0.5228962623807784,0.2904700176450255,0.65425373106443,0.5149197646063054,0.46258659940016306,0.42265519795132434
level2,0.6502274651668231,0.3444379309817223,0.4111194750755631,0.520645181646583,0.2941773203194921,0.6615170243208375,0.5373488660677833,0.4867815644484074,0.4209671388111472
an expert in physics,0.637805435652951,0.332485103467774,0.3942989099453808,0.5206253174208898,0.2875735660286932,0.6541655807698535,0.5237584841439904,0.46295926770239987,0.41773714891439934
an expert in computer science,0.6453017479444858,0.33577211576704097,0.3984319698509471,0.5222080768257735,0.28584903238897225,0.6581814578114014,0.519085452211388,0.4667712651977077,0.41592781369637477
an expert in chemistry,0.6364253067144887,0.33394093643601325,0.3909287925637122,0.5229885294137379,0.28951687725991615,0.6547135377665592,0.5151578209052619,0.4553793988471023,0.4155846973659792
Yumi,0.6456592720035902,0.3278611519072986,0.38136247886146235,0.5303548078965512,0.2862518571460984,0.6675929744969219,0.5150053196503437,0.47103525499222354,0.4133028902715085
