,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,gemma-2-2b-it,Qwen2.5-72B-Instruct,gemma-2-27b-it,gemma-2-9b-it,Qwen2.5-3B-Instruct
Gustavo,0.3722575730520591,0.30425852467913744,0.17974587676614856,0.5985133430853394,0.14738430245479034,0.6528379104240729,0.34577468992152516,0.32158674479809946,0.5276056535566844
an expert in law,0.3724210193308514,0.29932065356791737,0.16417863290927198,0.6041720634779075,0.12434788215738106,0.6737621699071371,0.3348605016369938,0.3038516792118594,0.5347171771936182
an expert in prealgebra,0.4564221135609496,0.28144147075302384,0.24382493678529085,0.6147984424978323,0.14975871714201866,0.6821717295031763,0.36190361373177243,0.3260127481397153,0.5354742230406607
favorite color is red,0.39123827021307866,0.30680931594358113,0.1310291014574036,0.6100560694575062,0.12655907787386736,0.6864350942776588,0.3607478646390013,0.3196968357249986,0.5408927749639533
Isabelle,0.35491298360430285,0.3229449608060057,0.2164825195623894,0.6007746143985322,0.15312273846844154,0.6574744462944201,0.35945781780408115,0.3280462477802395,0.532032334459413
level2,0.4573168397571711,0.28681466894216445,0.217232799060664,0.6135985394176656,0.14025776785127503,0.6738420641760886,0.35355940575519135,0.3226836926013189,0.5327117030515413
an expert in math,0.44455991175619675,0.30037101912789216,0.21858585761582877,0.615145192065645,0.1475794246576343,0.6866936083323566,0.35619793197444977,0.321242277679457,0.5352444999133172
Larissa,0.35166664523695934,0.31476480821497654,0.22178639349472715,0.5962893394071541,0.14733095911367716,0.6600957845313574,0.35983899675933156,0.32842371158894546,0.5295457431967082
an expert in counting and probability,0.4688952827219336,0.2821277173961788,0.25155640042904437,0.6147957326511648,0.13943884991704708,0.6767786731033475,0.3643960417996433,0.3233868532252808,0.5386267200956175
an expert in health,0.39391555032738246,0.2810769240007013,0.1384473126109434,0.6091936686615202,0.13473197652977426,0.6717866007470003,0.3365980520330854,0.3033231983375378,0.5350604292891984
empty,0.3534687862075082,0.26505678833026686,0.23277263272180213,0.6016940756158063,0.13606678182620538,0.6830434824175317,0.36413666406730705,0.3223586434718056,0.5424385141643205
Yumi,0.3617339764520357,0.31538347554376145,0.22795838171841803,0.6011239036884689,0.14293355598266103,0.658206861589966,0.3518065546768109,0.3270174595778199,0.5259432377978424
an expert in precalculus,0.42971020993244186,0.2880259144686144,0.22249555957593312,0.6193075412662722,0.14543208876769234,0.6802915710045296,0.36185083361576303,0.3236826191324135,0.5351993254642284
favorite color is blue,0.374673706508241,0.3057953252167459,0.13221321639394903,0.6052241061715131,0.12756665958908478,0.6855602723718112,0.36031794008593643,0.3243288853726317,0.5385791301791022
an expert in geometry,0.44467514395595836,0.28165934089860023,0.2106238550725575,0.6132495156215417,0.13776255128034148,0.6855854469283952,0.3525027358596792,0.319537790052506,0.5327304856671369
an uneducated person,0.26928135170083606,0.27944899733326267,0.12046992396879351,0.5954263026079347,0.1027662361580999,0.6776915187836275,0.29244610787405534,0.2433585940654028,0.531322752096292
a person with college-level education,0.371684936289193,0.29958170848225185,0.22211332607913303,0.5965582745106781,0.13089938951542684,0.6725316415333492,0.33856909778126193,0.3146801066643955,0.536071823051051
an expert in intermediate algebra,0.4558356566247818,0.2886558428640962,0.28425942923611136,0.6187806965153222,0.1418253970200266,0.6805680368202859,0.3609539635821137,0.3214375227167792,0.5395031021888734
a person with primary school level education,0.40139323933626214,0.30297387584782914,0.1271057008167626,0.6058568999030314,0.11950020617269441,0.6725974451939418,0.34059559060183836,0.25390799945964626,0.5251229328361756
Muhammad,0.3929165821864825,0.31223091840961287,0.1926916015997035,0.6037256073582429,0.15369884111295998,0.6506352589325463,0.3532635698102906,0.30829823915911303,0.5218430566255533
Fatima,0.36207025224733275,0.30315473779879276,0.2181750693592214,0.6011083467716031,0.14653469390127527,0.6535877719868803,0.3519528043460158,0.32108083734764453,0.5310893647024328
level1,0.44179641174918594,0.3021941019778822,0.21752877238192725,0.6198010252545573,0.14801749566567052,0.6880791998093636,0.3586895979852575,0.322504900738137,0.535434406880548
favorite color is yellow,0.3787293450113302,0.30829015107979313,0.13016950520674278,0.6132345302790523,0.12270329079953542,0.68895368890251,0.3550819672372284,0.31972502987765494,0.5424299898436858
an expert in philosophy,0.4127966358675801,0.31240945286254856,0.15928622568974535,0.6088715456892129,0.1270557612388199,0.6783178260616053,0.33396863172584507,0.30399871133783835,0.5336753191141057
Amit,0.36220149525434414,0.31652802017889264,0.22453168041988844,0.6024540040667468,0.14352168404264115,0.6616376883727986,0.34859790468366086,0.32533345854399753,0.5285899982298213
Alexander,0.375543567334563,0.31816593513105546,0.21586296016534748,0.5995001101571477,0.1482985710217785,0.6548688394810248,0.3584315168598643,0.33212669249212573,0.5236113973306418
Kai,0.3676567263095314,0.3104516583585097,0.22034430913278924,0.6016530731337425,0.14511367112300352,0.6681260695992695,0.35261386456800115,0.3225910406699057,0.5321977072814428
favorite color is white,0.3821671091637424,0.2914754022272667,0.12362717661278742,0.6108026549800165,0.12527955640436178,0.6898980649761778,0.3636972010997496,0.3261369646297501,0.5371647481826483
an expert in algebra,0.46459501475411685,0.2916727383175151,0.25113799681333104,0.6114551637368788,0.14467147788088225,0.6765767338287476,0.36112227458618473,0.32661670746177446,0.538883347575764
level3,0.48585602989750004,0.27861429934841053,0.2245427799149909,0.6091267930005524,0.13641886476872364,0.6829059588581735,0.3319305371409539,0.31805007027190496,0.5322642788640459
favorite color is black,0.3801606972026966,0.2975103761346159,0.12572685135006648,0.6109722465129582,0.12140006966625692,0.6893917354393037,0.35895535353138325,0.3267209982830354,0.5385947152518268
Aparna,0.368777373641873,0.30567689278428195,0.2365456126972613,0.6033025345665025,0.14995306979027592,0.6652506722937881,0.35145867451434704,0.32689390203722185,0.5323187731950979
