,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,gemma-2-2b-it,Qwen2.5-72B-Instruct,gemma-2-27b-it,gemma-2-9b-it,Qwen2.5-3B-Instruct
Yumi,0.6235413931436907,0.4128165572574763,0.38686360320933627,0.6439646243617798,0.199481765134938,0.6499283369803064,0.5412751641137855,0.3853017870167761,0.5329013493800145
favorite color is blue,0.6625521517140773,0.4132937636761488,0.4343543034281546,0.6504753829321662,0.2959416484318016,0.6576783369803063,0.5903692560175055,0.5007549234135668,0.531046498905908
a person with primary school level education,0.6893894967177243,0.26516028446389495,0.364149708242159,0.6700224288840262,0.14944930707512763,0.6451903719912473,0.5403692560175055,0.49099416484318015,0.5089562363238512
Fatima,0.6309473012399708,0.40913913202042307,0.3987399708242159,0.6431675784099198,0.20131509846827134,0.6505734865061998,0.5669525893508388,0.3914334427425237,0.5329053610503283
Larissa,0.6117698760029175,0.3903313274981765,0.39842140773158274,0.6414646243617798,0.19667396061269146,0.6612751641137855,0.5645829686360321,0.3772492706053975,0.5326258205689278
level2,0.6504580598103574,0.43088110867979573,0.44438256746900073,0.6540264405543399,0.32474671772428887,0.6692603938730853,0.6190574398249453,0.40014715536105033,0.5351593727206418
a person with college-level education,0.6539257840991977,0.423024981765135,0.4514188548504741,0.6536312910284464,0.3093851203501094,0.6586770605397521,0.6038584974471188,0.4501338439095551,0.5291701312910284
Isabelle,0.6141247264770241,0.4127802698760029,0.3927507293946024,0.6536675784099197,0.19219948942377826,0.660717359591539,0.5723584974471189,0.37282859226841725,0.5359699124726477
Gustavo,0.6336032093362509,0.4247802698760029,0.41560156819839533,0.646000911743253,0.20572228300510575,0.6503019693654266,0.6003584974471189,0.3883918672501824,0.5238367979576951
an expert in logic grid puzzles,0.6490454048140044,0.4741513493800146,0.49808424507658644,0.6561783369803064,0.4001258205689278,0.672292669584245,0.6304996353026988,0.4892924872355945,0.5338180160466812
favorite color is red,0.6690051057622173,0.41027224653537564,0.41339460247994164,0.6459175784099198,0.29987308533916845,0.6531312910284464,0.5875869803063458,0.5144175784099198,0.5299886943836616
an uneducated person,0.682603209336251,0.23406072210065645,0.4037169948942378,0.6503557622173596,0.1023119985412108,0.633553245805981,0.5662966812545587,0.4640909919766594,0.50297647702407
Alexander,0.6351865426695842,0.42213110867979575,0.41224270605397517,0.6475371991247265,0.22430707512764403,0.6836272793581328,0.5945103938730854,0.37361086797957693,0.5263005105762217
Muhammad,0.6443276805251641,0.4505061998541211,0.4305330051057622,0.65552644055434,0.2183083515681984,0.6634310722100656,0.591014405543399,0.35175182348650624,0.5217897520058351
Aparna,0.6257443471918308,0.4052224653537564,0.42081126914660827,0.6543705324580599,0.20812691466083152,0.64827644055434,0.5815359226841721,0.4021834427425237,0.530930889861415
an expert in tracking shuffled objects,0.6378854850474107,0.42648322392414295,0.4473758205689278,0.6557253829321663,0.33100072939460246,0.6450882567469001,0.6263584974471188,0.3259963530269876,0.5333583150984683
Amit,0.6219110138584975,0.4128703501094092,0.4236338439095551,0.6479538657913931,0.21086889132020423,0.6468422684172137,0.5818222100656456,0.4197157184536835,0.5287749817651349
favorite color is yellow,0.6570736688548505,0.419721188913202,0.42219839533187453,0.644595003646973,0.2965975565280817,0.6484901531728665,0.5804781181619256,0.5075371991247265,0.5398475565280816
an expert in inductive reasoning,0.6325521517140773,0.48139059080962804,0.46941083150984686,0.6482401531728665,0.3615827862873815,0.6695574398249453,0.6302899343544858,0.4998140043763676,0.532768234865062
level1,0.6536354850474106,0.42512709700948215,0.44077097009482125,0.6573342450765864,0.3183233041575493,0.6746663019693654,0.6202388767323121,0.453186177972283,0.527518234865062
an expert in hunting,0.6632228300510576,0.44738110867979575,0.4642602115244347,0.6316931072210066,0.2287062363238512,0.654054704595186,0.6162966812545587,0.3447640408460978,0.5399886943836616
an expert in applying contextual information,0.6614795769511306,0.41339587892049595,0.43139460247994166,0.6610734865061999,0.3052076951130562,0.6773760029175784,0.6196878191101386,0.4555222465353756,0.5367319474835885
favorite color is white,0.653171772428884,0.42513110867979576,0.412680889861415,0.6334175784099197,0.307727935813275,0.6611528081692195,0.580217359591539,0.4929403719912473,0.5406836250911743
Kai,0.6279943471918308,0.3918676148796499,0.3980302698760029,0.6456783369803063,0.20630433989788477,0.6502979576951131,0.5674633479212254,0.38658533916849014,0.5368220277169948
an expert in communicating effectively,0.642556163384391,0.426402625820569,0.4296070386579139,0.6571931072210065,0.2635880743982495,0.6604378191101385,0.5957025893508388,0.3901363967906637,0.5397897520058351
an expert in multi-step implicit reasoning,0.6233061633843909,0.4587024070021882,0.4505452224653537,0.650000911743253,0.37967286652078774,0.668183807439825,0.6269888767323122,0.510269693654267,0.5451150619985412
