,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,gemma-2-2b-it,Qwen2.5-72B-Instruct,gemma-2-27b-it,gemma-2-9b-it,Qwen2.5-3B-Instruct
an expert in math,0.6669719020530064,0.3337206026212375,0.4476392329606985,0.5432761009748783,0.24471677295030528,0.6821241168075869,0.5558780187758213,0.37938684425176666,0.4429366663017427
Isabelle,0.6728628528056012,0.3135244129125651,0.44129288193355,0.5439037637238712,0.19012154292199696,0.6777912356753214,0.5546780569947468,0.4412324215021904,0.44220069798514283
Larissa,0.6707813413831332,0.3114411477859272,0.4407915987033501,0.5417283231910767,0.1820835455960435,0.6792334607626805,0.5574458509546195,0.4418030747579304,0.44025986402166045
an expert in law,0.676080184408524,0.3378561884058024,0.45734242096178673,0.5450826312634508,0.23130611159104905,0.6794075008629399,0.548356446396085,0.36777437611576447,0.4403686514814683
favorite color is red,0.6735200316630815,0.3213443412511114,0.44607804146900226,0.5341002447922147,0.23276429204227353,0.6791680193064634,0.5560990845893059,0.4772843082088329,0.43952620753984845
an expert in chemistry,0.6709054571440405,0.32631355173343557,0.4428069249766035,0.5440569113521164,0.21746883686998048,0.675640272423666,0.5527764701168528,0.31896042509026695,0.4387859563504158
Gustavo,0.6737779286011812,0.3142862849609955,0.44425964611943103,0.5441421928344458,0.1980520891432589,0.6800548066023299,0.5607550132704655,0.4511730525965611,0.43850489350430066
an expert in health,0.6719319294802412,0.31946039299706225,0.44555419983678285,0.5432009248555735,0.19048782900531608,0.6742778782095985,0.4914939592655997,0.3155990916642805,0.43726953926071344
level2,0.6661573060485403,0.32240900699531194,0.44791007635869606,0.5443484223342175,0.2180728328802352,0.6794254577214586,0.5548912761127169,0.43770333340309253,0.4396693802521927
an expert in computer science,0.6684359224725119,0.32866306061855616,0.44854083846414533,0.5464502229142494,0.21272892088850084,0.6776883400945931,0.5520979222223179,0.3717300632023797,0.4410116171756543
an expert in physics,0.6671458148853213,0.3343227270881212,0.44597569530613784,0.5443976107889114,0.23034824696398434,0.6752895228865988,0.5484289355872954,0.3039406882703366,0.4401905200531941
a person with primary school level education,0.6736056565446642,0.29609660960916834,0.4109297215264124,0.5427619543363148,0.22976196333816823,0.6812208235118943,0.5590309845898527,0.478615778411081,0.43964538408559856
Yumi,0.6736977459312709,0.3171756521046613,0.44642709072356185,0.5436731611965979,0.1873792183796079,0.6809221271414829,0.5527823667417822,0.4454274520024484,0.4418014638191608
