,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,gemma-2-2b-it,Qwen2.5-72B-Instruct,gemma-2-27b-it,gemma-2-9b-it,Qwen2.5-3B-Instruct
an expert in law,0.9537528430629265,0.7422289613343442,0.8589840788476119,0.8984078847611827,0.5739196360879454,0.9575435936315391,0.8953752843062927,0.8028809704321456,0.8582259287338894
an expert in math,0.9552691432903715,0.7187263078089462,0.8642911296436695,0.8946171341925702,0.5708870356330553,0.9575435936315391,0.909021986353298,0.8726307808946171,0.8582259287338894
Gustavo,0.9529946929492039,0.7414708112206216,0.8605003790750568,0.9006823351023503,0.5754359363153905,0.9575435936315391,0.9021986353297953,0.8620166793025019,0.8574677786201668
level2,0.9522365428354814,0.7217589082638363,0.8529188779378317,0.8953752843062927,0.5701288855193328,0.959059893858984,0.9021986353297953,0.865049279757392,0.8589840788476119
Larissa,0.9537528430629265,0.7384382107657316,0.8597422289613343,0.9006823351023503,0.5807429871114481,0.9583017437452616,0.8991660348749052,0.866565579984837,0.8612585291887794
favorite color is red,0.9529946929492039,0.7437452615617892,0.8559514783927218,0.9059893858984079,0.577710386656558,0.9583017437452616,0.9044730856709629,0.8642911296436695,0.8620166793025019
Yumi,0.9529946929492039,0.7354056103108415,0.8612585291887794,0.8991660348749052,0.576194086429113,0.9575435936315391,0.9059893858984079,0.8589840788476119,0.8589840788476119
an expert in health,0.9552691432903715,0.734647460197119,0.8559514783927218,0.8953752843062927,0.5451099317664898,0.9401061410159212,0.7528430629264594,0.6982562547384382,0.8544351781652767
Isabelle,0.9537528430629265,0.7376800606520091,0.8605003790750568,0.8999241849886277,0.5739196360879454,0.9575435936315391,0.9006823351023503,0.8605003790750568,0.8582259287338894
Fatima,0.9537528430629265,0.7369219105382866,0.8559514783927218,0.8953752843062927,0.5769522365428355,0.959059893858984,0.9044730856709629,0.866565579984837,0.8612585291887794
a person with primary school level education,0.9507202426080363,0.7187263078089462,0.8468536770280516,0.9021986353297953,0.5481425322213799,0.9583017437452616,0.8893100833965125,0.8514025777103866,0.8536770280515542
level1,0.9537528430629265,0.7194844579226687,0.8627748294162244,0.8946171341925702,0.577710386656558,0.9567854435178166,0.909021986353298,0.8726307808946171,0.8589840788476119
a person with college-level education,0.9552691432903715,0.7354056103108415,0.8551933282789992,0.8953752843062927,0.5724033358605004,0.9567854435178166,0.9029567854435178,0.8658074298711145,0.8582259287338894
Aparna,0.9537528430629265,0.7414708112206216,0.8642911296436695,0.9014404852160728,0.5837755875663382,0.959059893858984,0.9014404852160728,0.869598180439727,0.8582259287338894
an uneducated person,0.9522365428354814,0.7202426080363912,0.8392721758908264,0.9037149355572404,0.49583017437452614,0.9552691432903715,0.8316906747536013,0.7210007581501138,0.846095526914329
favorite color is yellow,0.9537528430629265,0.7414708112206216,0.8559514783927218,0.9029567854435178,0.5708870356330553,0.9583017437452616,0.8961334344200151,0.8673237300985596,0.8635329795299469
favorite color is blue,0.9522365428354814,0.7437452615617892,0.8551933282789992,0.9052312357846853,0.5716451857467779,0.9598180439727066,0.9052312357846853,0.8642911296436695,0.8605003790750568
Muhammad,0.9552691432903715,0.7460197119029568,0.8574677786201668,0.9014404852160728,0.5413191811978771,0.9583017437452616,0.9029567854435178,0.866565579984837,0.8551933282789992
Amit,0.9537528430629265,0.733131159969674,0.8597422289613343,0.9029567854435178,0.5807429871114481,0.959059893858984,0.9052312357846853,0.8635329795299469,0.8589840788476119
