,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,gemma-2-2b-it,Qwen2.5-72B-Instruct,gemma-2-27b-it,gemma-2-9b-it,Qwen2.5-3B-Instruct
an expert in health,0.6657760216162113,0.2893616385284998,0.39001412177901074,0.528817981712033,0.2022541781101102,0.6593742885939028,0.5114885437451607,0.2948683509227679,0.42703232370028793
an expert in math,0.6587981335646764,0.31149853207748457,0.4186984479445858,0.5263366633961801,0.24430272551470159,0.6623779541704246,0.5510431574908867,0.4541933484837158,0.4276157083113183
Isabelle,0.6639013135815544,0.3032369381252921,0.3881284065977047,0.5280191743762066,0.24288186246317847,0.6618975732672145,0.5399504739623131,0.43205235717772467,0.42758935002856335
level2,0.6622264252566696,0.28983597569715724,0.40408403286559597,0.5242948125403996,0.21736089680650386,0.6618990232987472,0.5183476210938207,0.3902144853455957,0.42795372490684397
Gustavo,0.666942837062582,0.3102762435709282,0.3959762627077435,0.5277459933163241,0.26350864393129625,0.6624424923394739,0.5445083042584342,0.44017591319912913,0.4311649492921213
Larissa,0.665279672415914,0.303001771449306,0.39343048702715705,0.5277796644181839,0.24577147874160005,0.6612181393353811,0.5390047005300665,0.43130187335136955,0.430153396500622
an expert in physics,0.6621290264800986,0.31265124597721744,0.39740990794661124,0.5268573746534784,0.2324538781403601,0.6620774947024779,0.5437159660825563,0.3874411720152174,0.42852418526446395
an expert in chemistry,0.666860287111245,0.30506625594377906,0.3932676565937581,0.5282502729566508,0.23689808558335007,0.6603828043016314,0.5392122157685477,0.38946924391330257,0.4286454405380126
an expert in computer science,0.6563116004738836,0.30443152400235,0.40365748495540643,0.5287645987755812,0.2278304326348646,0.6629894330985289,0.5462431889005753,0.424321301844938,0.42991943345521416
favorite color is red,0.6676553774949229,0.29763685043493254,0.4080707773440464,0.5231204593429408,0.2813586378926542,0.665227280106432,0.5591723321346913,0.48911946331158146,0.42693647013787556
an expert in law,0.6672943289344825,0.3068458514762444,0.422004431793047,0.530807232313159,0.23547102884303678,0.6641673717791768,0.5455540366216258,0.42866147683952066,0.429860798304801
Yumi,0.6649978802478282,0.3016374352172156,0.3980647653872115,0.5281866315800194,0.24490618252470428,0.6624966169071148,0.542195322868574,0.43806112946579573,0.42974333012135835
an uneducated person,0.6717928049187066,0.237768352792077,0.34276847628839285,0.5187035216215561,0.233865773642865,0.6773723161691245,0.5707730778110511,0.5052171685084439,0.4264200722519459
Fatima,0.6659957401593629,0.2994898888091249,0.39914403061889425,0.528742490498656,0.25016409124514966,0.6627563774001676,0.5462041626063489,0.42788681908898524,0.42968212934412253
"an expert in miscellaneous fields including international relations, sociology, accounting, and human sexuality",0.6694932498476709,0.293408898812794,0.3902978666205504,0.5310530282265229,0.241395231688276,0.6599717718283306,0.5471927830558424,0.4450699925915495,0.4260311948256788
a person with primary school level education,0.6674896687631674,0.2576194100523303,0.3336045389628546,0.5277303075363788,0.24461388125570263,0.6745102064146663,0.5669284643963693,0.49819380762600496,0.43315997970938597
favorite color is blue,0.6679250013172615,0.2995385137517566,0.4098041160834181,0.5246125374170354,0.272697377789842,0.6661028893989049,0.5557878232421306,0.48372356396322597,0.426680972844757
a person with college-level education,0.6647852765969852,0.2919558270638281,0.3998809906946888,0.5276164758885786,0.23490065000795562,0.6609371419735327,0.5280755383360358,0.4027447865902909,0.43078073928644783
Muhammad,0.6691549814095803,0.32887606739960484,0.40862421970894525,0.5270227139236658,0.26274034600896223,0.6626428328680534,0.5385113321025154,0.433867140078141,0.43113084711832805
an expert in business,0.6568897095503659,0.30128197511496013,0.41272637738671436,0.5294057067851096,0.2301066949808659,0.6596654223770021,0.5438700190371903,0.41848109472837997,0.43095027321793317
level1,0.6586696040417692,0.2872021539271445,0.4013526201160254,0.5250996715070474,0.21498190746250936,0.6608791561086084,0.5189584569870112,0.3900881719206884,0.4281602311727272
an expert in economics,0.664836899595341,0.3123044268901202,0.40700644444085404,0.5286713363749593,0.2341823506083098,0.6604077697490424,0.5456832623500463,0.40050209220319005,0.42985708116046967
Aparna,0.6641027972724804,0.30579915038974637,0.3990195868479119,0.5278664852525667,0.23609958100130224,0.6628734649290057,0.5409011543073173,0.4264372585335143,0.43079941921752646
an expert in psychology,0.6716644291902311,0.31023393204025973,0.4030201021779788,0.5289942764018786,0.24346993273681822,0.6621762654410179,0.5371566889227043,0.4160491787638122,0.4287010188956106
Amit,0.6633789017369717,0.304225903826408,0.4033905650072836,0.528449388683172,0.25346110144616046,0.663086413199836,0.5431290530387555,0.42661363588761236,0.43180576592978115
favorite color is yellow,0.6692155667968352,0.2997381880383874,0.4086174579952636,0.5233754883498138,0.2779659920927937,0.6666166531999191,0.5658193925449713,0.48817815236537404,0.42864454749498687
Alexander,0.6665836204080717,0.30426871473557127,0.39323795324111704,0.527038995954976,0.2604772620324854,0.6609432651467774,0.5401347240383045,0.4389142546371188,0.4303020050810443
Kai,0.6634979980579107,0.29979537163116304,0.3964791695625486,0.5267241779469998,0.26085222611779046,0.6626458285470093,0.5450697486861464,0.4358766876375096,0.4309119851361941
favorite color is white,0.6669069032356371,0.297608268076395,0.40944477389225403,0.5224582091498341,0.276933200634366,0.6632663476854769,0.5532053074683789,0.4816385572871051,0.4259752702885674
level3,0.6637042941126782,0.292071203486371,0.3967558799575312,0.525699054482928,0.21184938213001872,0.662050626987307,0.5247571325023135,0.3935349009899055,0.4282922657684933
Anastasia,0.6642692766590766,0.3047956203506707,0.3907545175831752,0.5284814063336685,0.2633724847068964,0.6616476628438492,0.5458025136191734,0.4388058400387359,0.42871113062086924
an expert in philosophy,0.6686789769004363,0.3270565064435827,0.40991662003781976,0.5297846995120111,0.2773471023071545,0.6559989307658532,0.5388139974493257,0.4665997952840434,0.4297627091008707
