,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,gemma-2-2b-it,Qwen2.5-72B-Instruct,gemma-2-27b-it,gemma-2-9b-it,Qwen2.5-3B-Instruct
Larissa,0.7417380660954712,0.3806609547123623,0.34149326805385555,0.6695226438188494,0.3427172582619339,0.8090575275397797,0.7246022031823746,0.4565483476132191,0.5887392900856793
level2,0.7343941248470012,0.42962056303549573,0.41615667074663404,0.6597307221542228,0.3317013463892289,0.7894736842105263,0.7050183598531212,0.32802937576499386,0.5813953488372093
Gustavo,0.7454100367197063,0.42962056303549573,0.3659730722154223,0.6670746634026927,0.3843329253365973,0.8078335373317014,0.7466340269277846,0.5152998776009792,0.5924112607099143
favorite color is red,0.7405140758873929,0.4039167686658507,0.3880048959608323,0.6707466340269278,0.40636474908200737,0.8078335373317014,0.7613219094247246,0.631578947368421,0.5740514075887393
an expert in quantum mechanics,0.7515299877600979,0.5397796817625459,0.5079559363525091,0.6719706242350061,0.41003671970624234,0.817625458996328,0.7906976744186046,0.5348837209302325,0.609547123623011
an expert in fact-checking,0.7405140758873929,0.5006119951040392,0.5091799265605875,0.6793145654834761,0.3708690330477356,0.8090575275397797,0.7637698898408812,0.4847001223990208,0.5997552019583844
Isabelle,0.7417380660954712,0.43329253365973075,0.3463892288861689,0.6695226438188494,0.3574051407588739,0.8078335373317014,0.7282741738066095,0.4724602203182375,0.5862913096695227
an expert in urban planning,0.7429620563035496,0.47613219094247244,0.45165238678090575,0.6634026927784578,0.3623011015911873,0.8102815177478581,0.7466340269277846,0.2974296205630355,0.591187270501836
Fatima,0.7405140758873929,0.412484700122399,0.33659730722154224,0.6707466340269278,0.35495716034271724,0.8115055079559363,0.7221542227662179,0.4418604651162791,0.583843329253366
a person with primary school level education,0.7356181150550796,0.14443084455324356,0.21909424724602203,0.6695226438188494,0.3488372093023256,0.8053855569155447,0.7490820073439413,0.5373317013463892,0.5924112607099143
favorite color is blue,0.7392900856793145,0.40269277845777235,0.390452876376989,0.6682986536107711,0.3990208078335373,0.8078335373317014,0.758873929008568,0.6303549571603427,0.5752753977968176
Alexander,0.7454100367197063,0.4222766217870257,0.3623011015911873,0.6682986536107711,0.3843329253365973,0.8004895960832313,0.7417380660954712,0.5067319461444308,0.5887392900856793
an expert in chess,0.7417380660954712,0.5177478580171359,0.4749082007343941,0.6621787025703795,0.37454100367197063,0.802937576499388,0.773561811505508,0.5018359853121175,0.5862913096695227
level1,0.7454100367197063,0.4430844553243574,0.412484700122399,0.6621787025703795,0.33659730722154224,0.7906976744186046,0.7099143206854345,0.34761321909424725,0.5936352509179926
a person with college-level education,0.7417380660954712,0.4283965728274174,0.43818849449204406,0.6634026927784578,0.3488372093023256,0.8090575275397797,0.7307221542227662,0.36964504283965727,0.5973072215422277
an expert in marine biology,0.7454100367197063,0.47123623011015914,0.390452876376989,0.6658506731946144,0.35495716034271724,0.8041615667074663,0.6964504283965728,0.2864137086903305,0.6046511627906976
Muhammad,0.7503059975520195,0.4847001223990208,0.3953488372093023,0.6707466340269278,0.38922888616891066,0.8078335373317014,0.7160342717258262,0.386780905752754,0.5801713586291309
Yumi,0.7454100367197063,0.4039167686658507,0.35128518971848227,0.6695226438188494,0.3574051407588739,0.8102815177478581,0.7356181150550796,0.4981640146878825,0.5899632802937577
an uneducated person,0.7417380660954712,0.18115055079559364,0.2141982864137087,0.6389228886168911,0.31334149326805383,0.7980416156670747,0.7001223990208079,0.576499388004896,0.5630354957160343
Amit,0.7478580171358629,0.3880048959608323,0.36474908200734396,0.6707466340269278,0.3623011015911873,0.8053855569155447,0.7429620563035496,0.43818849449204406,0.5936352509179926
Aparna,0.7417380660954712,0.4173806609547124,0.3623011015911873,0.6682986536107711,0.3353733170134639,0.806609547123623,0.7294981640146879,0.4479804161566707,0.5936352509179926
level3,0.7270501835985312,0.4173806609547124,0.4222766217870257,0.6523867809057528,0.31701346389228885,0.773561811505508,0.6866585067319462,0.3317013463892289,0.583843329253366
Kai,0.7368421052631579,0.3684210526315789,0.3561811505507956,0.6695226438188494,0.3806609547123623,0.806609547123623,0.7454100367197063,0.49326805385556916,0.5826193390452876
favorite color is black,0.7392900856793145,0.3843329253365973,0.4039167686658507,0.6719706242350061,0.4149326805385557,0.799265605875153,0.7637698898408812,0.6242350061199511,0.5801713586291309
favorite color is white,0.7331701346389229,0.3733170134638923,0.390452876376989,0.6719706242350061,0.40758873929008566,0.802937576499388,0.7723378212974297,0.6144430844553244,0.572827417380661
Anastasia,0.7343941248470012,0.4112607099143207,0.3659730722154223,0.6682986536107711,0.401468788249694,0.7968176254589964,0.7282741738066095,0.49938800489596086,0.5850673194614443
favorite color is yellow,0.7405140758873929,0.3929008567931457,0.3929008567931457,0.6646266829865362,0.39657282741738065,0.806609547123623,0.773561811505508,0.6389228886168911,0.5740514075887393
favorite color is green,0.7417380660954712,0.401468788249694,0.41615667074663404,0.6670746634026927,0.4112607099143207,0.8078335373317014,0.7552019583843329,0.6340269277845777,0.5752753977968176
Victor,0.7392900856793145,0.3843329253365973,0.34516523867809057,0.6682986536107711,0.3990208078335373,0.8017135862913096,0.7368421052631579,0.5018359853121175,0.5899632802937577
an expert in criptography,0.7319461444308446,0.46266829865361075,0.4785801713586291,0.6670746634026927,0.3659730722154223,0.8090575275397797,0.7833537331701347,0.46511627906976744,0.5924112607099143
a person with graduate level education,0.7466340269277846,0.44063647490820074,0.4418604651162791,0.6621787025703795,0.3708690330477356,0.8078335373317014,0.7233782129742962,0.401468788249694,0.594859241126071
a person with middle school level education,0.7380660954712362,0.2484700122399021,0.24969400244798043,0.6682986536107711,0.37209302325581395,0.8127294981640147,0.769889840881273,0.5862913096695227,0.5862913096695227
a person with high school level education,0.7380660954712362,0.2692778457772338,0.2717258261933905,0.6682986536107711,0.3574051407588739,0.806609547123623,0.7674418604651163,0.5605875152998776,0.587515299877601
